"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8016","User gagal melakukan login dengan Password 250 Karakter dan menampilkan pesan error","TC01 Login Page Tests","2026-03-06","failed","2026-03-06","","TC01006 - Login User Password 250 Karakter","",""
"","4566","User berhasil melakukan registrasi dengan nama lengkap dan email kapital dan diarahkan ke halaman beranda","TC03 Register Page Tests","2026-03-06","passed","2026-03-06","","TC03002 - Register User with capitalized Full Name and Email","",""
"","1965","User gagal melakukan registrasi dengan format email tidak valid dan menampilkan pesan error","TC03 Register Page Tests","2026-03-06","passed","2026-03-06","","TC03004 - Register User with Invalid Email Format","",""
"","20131","User dapat menambahkan alamat baru di My Account","TC07 - My Account Page Tests","2026-03-06","passed","2026-03-06","","TC07001 - Add New Address","",""
"","967","User dapat memfilter produk berdasarkan satu warna (White)","TC06 - Filter Accessories Page Tests","2026-03-06","passed","2026-03-06","","TC06004 - Centang Filter Warna Tunggal","",""
"","487","User gagal melakukan login dengan form kosong dan menampilkan pesan error untuk email dan password","TC01 Login Page Tests","2026-03-06","passed","2026-03-06","","TC01005 - Login User Form Kosong","",""
"","4713","User tidak dapat menambahkan alamat baru dengan field lebih dari 250 karakter","TC07 - My Account Page Tests","2026-03-06","failed","2026-03-06","","TC07004 - Add New Address 250 Characters","",""
"","668","User gagal melakukan registrasi dengan form kosong dan menampilkan pesan error untuk setiap field","TC03 Register Page Tests","2026-03-06","passed","2026-03-06","","TC03005 - Register User with Empty Form","",""
"","5163","User tidak dapat menambahkan alamat baru dengan field kosong","TC07 - My Account Page Tests","2026-03-06","failed","2026-03-06","","TC07003 - Add New Address with Empty Fields","",""
"","4712","Default address tidak tertimpa ketika user mengedit address lain tanpa set as default","TC07 - My Account Page Tests","2026-03-06","failed","2026-03-06","","TC07005 - Edit Address tidak menimpa Default Address","",""
"","87412","User gagal melakukan checkout dengan format credit card tidak valid dan menampilkan pesan error","TC05 Checkout Unregistered User Tests","2026-03-06","passed","2026-03-06","","TC05009 - Checkout with Invalid Credit Card Format","",""
"","1577","User dapat menghapus filter warna dengan mencentang ulang checkbox yang sama","TC06 - Filter Accessories Page Tests","2026-03-06","passed","2026-03-06","","TC06006 - Hapus Filter Warna","",""
"","10835","User gagal melakukan registrasi dengan data 250 karakter dan menampilkan pesan error untuk setiap field","TC03 Register Page Tests","2026-03-06","failed","2026-03-06","","TC03006 - Register User with 250 Characters Data","",""
"","33403","User berhasil melakukan checkout dengan payment method VISA credit card dan data valid","TC05 Checkout Unregistered User Tests","2026-03-06","failed","2026-03-06","","TC05007 - Checkout with Valid VISA Credit Card Payment","",""
"","7796","User berhasil melakukan registrasi dengan data valid dan diarahkan ke halaman beranda","TC03 Register Page Tests","2026-03-06","passed","2026-03-06","","TC03001 - Register User (Valid Data)","",""
"","86440","User gagal melakukan checkout dengan credit card saldo tidak cukup dan menampilkan pesan error","TC05 Checkout Unregistered User Tests","2026-03-06","failed","2026-03-06","","TC05008 - Checkout with Insufficient Funds Credit Card","",""
"","11363","Melakukan Spaming register button lebih dari 5 kali dan menampilkan pesan error","TC03 Register Page Tests","2026-03-06","failed","2026-03-06","","TC03008 - Register User Spam Button","",""
"","4512","User berhasil melakukan login dengan email kapital dan diarahkan ke halaman beranda","TC01 Login Page Tests","2026-03-06","passed","2026-03-06","","TC01002 - Login User Email Kapital","",""
"","10078","Button Sign In di Block dan menampilkan pesan Please Try Again Later","TC01 Login Page Tests","2026-03-06","failed","2026-03-06","","TC01008 - Login User Spam Button Ketika Error","",""
"","4302","Semua button dapat berfungsi sebagaimana mestinya","TC03 Register Page Tests","2026-03-06","passed","2026-03-06","","TC03007 - Register User Button Validation","",""
"","44267","User gagal melakukan checkout dengan mengisi semua mandatory field 250 karakter dan menampilkan pesan error","TC05 Checkout Unregistered User Tests","2026-03-06","failed","2026-03-06","","TC05006 - Checkout with 250 Characters in All Mandatory Fields","",""
"","4998","User dapat mensetting rentang harga kustom dengan menggeser kedua slider","TC06 - Filter Accessories Page Tests","2026-03-06","failed","2026-03-06","","TC06003 - Geser Kedua Slider Bersamaan","",""
"","2253","User gagal melakukan login dengan email tidak terdaftar dan menampilkan pesan error","TC01 Login Page Tests","2026-03-06","passed","2026-03-06","","TC01003 - Login User Email Tidak Terdaftar","",""
"","1168","User gagal melakukan checkout dengan mengkosongkan field Color dan Quantity dan menampilkan pesan error","TC05 Checkout Unregistered User Tests","2026-03-06","passed","2026-03-06","","TC05004 - Checkout with Empty Color and Quantity Field","",""
"","660","User gagal melakukan reset password dengan form kosong dan menampilkan pesan error","TC02 Forgot Password Page Tests","2026-03-06","passed","2026-03-06","","TC02004 - Reset Password with Empty Email","",""
"","4990","User dapat menggeser slider harga maksimum ke nilai yang lebih rendah","TC06 - Filter Accessories Page Tests","2026-03-06","failed","2026-03-06","","TC06002 - Geser Slider Harga Maksimum","",""
"","159625","User berhasil melakukan checkout","TC05 Checkout Unregistered User Tests","2026-03-06","passed","2026-03-06","","TC05010 - Checkout with another Credit card method (amazon pay)","",""
"","1897","User berhasil diarahkan ke halaman beranda ketika mengklik tombol breadcrumb Home","TC02 Forgot Password Page Tests","2026-03-06","passed","2026-03-06","","TC02006 - Button Breadcrumb Home","",""
"","4276","User gagal melakukan checkout dengan mengkosongkan field Shipping Address dan menampilkan pesan error","TC05 Checkout Unregistered User Tests","2026-03-06","passed","2026-03-06","","TC05005 - Checkout with Empty Shipping Address","",""
"","1181","User gagal melakukan login dengan Password dibawah minimum karakter dan menampilkan pesan error","TC01 Login Page Tests","2026-03-06","passed","2026-03-06","","TC01009 - Login User Password Dibawah Minimum Karakter","",""
"","27965","User berhasil melakukan checkout dengan billing address berbeda dari shipping address","TC05 Checkout Unregistered User Tests","2026-03-06","passed","2026-03-06","","TC05002 - Checkout with Different Billing Address","",""
"","5145","User gagal melakukan reset password dengan email tidak terdaftar dan menampilkan pesan error","TC02 Forgot Password Page Tests","2026-03-06","failed","2026-03-06","","TC02002 - Reset Password with Unregistered Email","",""
"","7592","Melakukan Spaming reset button lebih dari 5 kali dan menampilkan pesan error","TC02 Forgot Password Page Tests","2026-03-06","failed","2026-03-06","","TC02005 - Reset Password Spam Button","",""
"","4360","User gagal melakukan checkout dengan quantity melebihi stok yang tersedia dan menampilkan pesan error","TC05 Checkout Unregistered User Tests","2026-03-06","passed","2026-03-06","","TC05003 - Checkout with overstock Quantity","",""
"","23195","User berhasil melakukan checkout dengan data valid dan diarahkan ke halaman konfirmasi","TC05 Checkout Unregistered User Tests","2026-03-06","passed","2026-03-06","","TC05001 - Checkout with Unregistered User","",""
"","15941","User berhasil melakukan checkout dengan login di checkout form","TC04 Checkout Registered User Tests","2026-03-06","failed","2026-03-06","","TC04006 - Checkout with Re-Login at Checkout Form","",""
"","21579","User berhasil melakukan login dan diarahkan ke halaman beranda","TC01 Login Page Tests","2026-03-06","passed","2026-03-06","","TC01001 - Login User (Valid Data)","",""
"","1090","User gagal melakukan reset password dengan format email tidak valid dan menampilkan pesan error","TC02 Forgot Password Page Tests","2026-03-06","passed","2026-03-06","","TC02003 - Reset Password with Invalid Email Format","",""
"","1524","User dapat memfilter produk dengan mencentang beberapa warna sekaligus","TC06 - Filter Accessories Page Tests","2026-03-06","passed","2026-03-06","","TC06005 - Centang Filter Beberapa Warna","",""
"","6940","User berhasil melakukan reset password dengan email valid dan menampilkan pesan sukses","TC02 Forgot Password Page Tests","2026-03-06","failed","2026-03-06","","TC02001 - Reset Password with Valid Email","",""
"","5365","User dapat menggabungkan filter slider harga dan checkbox warna secara bersamaan","TC06 - Filter Accessories Page Tests","2026-03-06","failed","2026-03-06","","TC06007 - Kombinasi Filter Harga dan Warna","",""
"","2496","User gagal melakukan registrasi dengan email yang sudah terdaftar dan menampilkan pesan error","TC03 Register Page Tests","2026-03-06","passed","2026-03-06","","TC03003 - Register User with Registered Email","",""
"","8433","User dapat menggeser slider harga minimum ke nilai yang lebih tinggi","TC06 - Filter Accessories Page Tests","2026-03-06","failed","2026-03-06","","TC06001 - Geser Slider Harga Minimum","",""
"","1536","User gagal melakukan registrasi dengan password dibawah minimum karakter dan menampilkan pesan error","TC03 Register Page Tests","2026-03-06","passed","2026-03-06","","TC03009 - Register User with Password Below Minimum Characters","",""
"","4520","User dapat logout dari My Account","TC07 - My Account Page Tests","2026-03-06","passed","2026-03-06","","TC07002 - Logout Button","",""
"","1879","User gagal melakukan login dengan format email tidak valid (tanpa @) dan menampilkan pesan error","TC01 Login Page Tests","2026-03-06","passed","2026-03-06","","TC01004 - Login User Email Tidak Valid","",""
